t,x,y,z,states,label
0.0,9.081632614135742,517.5595092773438,0.0,0.0,0.0
0.0,4.4301886558532715,657.603759765625,0.0,0.0,2.0
0.0,8.603535652160645,718.007568359375,0.0,0.0,3.0
0.0,21.547286987304688,688.747314453125,0.0,0.0,0.0
0.0,34.46365737915039,234.80702209472656,0.0,0.0,0.0
0.0,42.60293960571289,293.9117736816406,0.0,0.0,0.0
0.0,59.6343879699707,692.1738891601562,0.0,0.0,0.0
0.0,64.20703887939453,214.09201049804688,0.0,0.0,0.0
0.0,160.96038818359375,785.9580078125,0.0,0.0,0.0
0.0,185.843994140625,1330.404052734375,0.0,0.0,0.0
0.0,221.84906005859375,1299.4453125,0.0,0.0,0.0
0.0,238.08058166503906,1324.084716796875,0.0,0.0,0.0
0.0,255.82191467285156,1274.4229736328125,0.0,0.0,1.0
0.0,256.2411804199219,943.4254760742188,0.0,0.0,0.0
0.0,272.122314453125,209.0535125732422,0.0,0.0,0.0
0.0,304.59423828125,994.6532592773438,0.0,0.0,0.0
0.0,392.5938415527344,469.88671875,0.0,0.0,0.0
0.0,406.3944091796875,1577.2769775390625,0.0,0.0,0.0
0.0,422.02935791015625,27.395748138427734,0.0,0.0,0.0
0.0,432.1188659667969,471.0409851074219,0.0,0.0,0.0
0.0,455.0482482910156,913.9239501953125,0.0,0.0,0.0
0.0,466.4112548828125,1138.327880859375,0.0,0.0,0.0
0.0,481.4071044921875,903.4175415039062,0.0,0.0,0.0
0.0,538.3768920898438,1062.10546875,0.0,0.0,0.0
0.0,568.7840576171875,1311.375244140625,0.0,0.0,0.0
0.0,588.2694091796875,937.2816162109375,0.0,0.0,0.0
0.0,604.0338134765625,484.331787109375,0.0,0.0,0.0
0.0,602.4078979492188,1329.0582275390625,0.0,0.0,0.0
0.0,613.5641479492188,897.9843139648438,0.0,0.0,0.0
0.0,622.5038452148438,969.3660278320312,0.0,0.0,0.0
0.0,636.69482421875,340.7862243652344,0.0,0.0,0.0
0.0,664.1793823242188,402.9361267089844,0.0,0.0,0.0
0.0,695.8076171875,462.9677734375,0.0,0.0,0.0
0.0,700.121826171875,312.7450866699219,0.0,0.0,0.0
0.0,702.6190185546875,551.425537109375,0.0,0.0,0.0
0.0,717.4983520507812,366.7296142578125,0.0,0.0,0.0
0.0,728.7041015625,587.6835327148438,0.0,0.0,0.0
0.0,740.67041015625,653.4221801757812,0.0,0.0,0.0
0.0,742.2069702148438,547.5119018554688,0.0,0.0,0.0
0.0,747.3684692382812,457.94927978515625,0.0,0.0,0.0
0.0,799.6016845703125,552.136474609375,0.0,0.0,0.0
0.0,820.07861328125,484.9078674316406,0.0,0.0,3.0
0.0,828.4173583984375,527.0247802734375,0.0,0.0,0.0
0.0,853.9967651367188,1381.0638427734375,0.0,0.0,0.0
0.0,853.1768188476562,600.0256958007812,0.0,0.0,0.0
0.0,868.0016479492188,1063.983642578125,0.0,0.0,0.0
0.0,872.8535766601562,1030.653564453125,0.0,0.0,0.0
0.0,876.2764282226562,502.5600891113281,0.0,0.0,3.0
0.0,887.5384521484375,1254.1162109375,0.0,0.0,0.0
0.0,892.7890625,581.056640625,0.0,0.0,0.0
0.0,909.9098510742188,540.613037109375,0.0,0.0,0.0
0.0,926.6682739257812,1178.744873046875,0.0,0.0,0.0
0.0,924.3761596679688,1295.922607421875,0.0,0.0,0.0
0.0,927.23828125,1072.566162109375,0.0,0.0,0.0
0.0,957.3700561523438,1038.0079345703125,0.0,0.0,0.0
0.0,967.676025390625,1257.6441650390625,0.0,0.0,0.0
0.0,974.0027465820312,1174.989013671875,0.0,0.0,0.0
0.0,993.064453125,1237.748779296875,0.0,0.0,0.0
0.0,1008.3540649414062,1107.8533935546875,0.0,0.0,0.0
0.0,1027.471435546875,1150.5745849609375,0.0,0.0,0.0
0.0,1040.7547607421875,1210.4266357421875,0.0,0.0,0.0
0.0,1049.8934326171875,1054.9927978515625,0.0,0.0,0.0
0.0,1053.4259033203125,1101.8912353515625,0.0,0.0,0.0
0.0,1059.6180419921875,1552.0965576171875,0.0,0.0,0.0
0.0,1083.0074462890625,499.439453125,0.0,0.0,0.0
0.0,1093.4503173828125,1125.3621826171875,0.0,0.0,0.0
0.0,1129.28759765625,1116.46240234375,0.0,0.0,0.0
0.0,1136.2137451171875,962.6965942382812,0.0,0.0,4.0
0.0,1165.19580078125,1472.149169921875,0.0,0.0,0.0
1.0,5.52222204208374,514.647216796875,0.0,0.0,2.0
1.0,4.155102252960205,657.7999877929688,0.0,0.0,2.0
1.0,8.149456977844238,718.75,0.0,0.0,3.0
1.0,21.402639389038086,689.7425537109375,0.0,0.0,0.0
1.0,34.273284912109375,237.31617736816406,0.0,0.0,0.0
1.0,45.35799026489258,295.221923828125,0.0,0.0,0.0
1.0,58.7170524597168,692.0775146484375,0.0,0.0,0.0
1.0,63.5560302734375,217.71630859375,0.0,0.0,0.0
1.0,158.6670684814453,784.5113525390625,0.0,0.0,0.0
1.0,184.82022094726562,1335.3707275390625,0.0,0.0,0.0
1.0,219.10899353027344,1303.126220703125,0.0,0.0,0.0
1.0,238.39195251464844,1326.3602294921875,0.0,0.0,0.0
1.0,255.52159118652344,1277.283203125,0.0,0.0,0.0
1.0,258.4728698730469,944.0872802734375,0.0,0.0,0.0
1.0,271.6127624511719,206.24417114257812,0.0,0.0,0.0
1.0,302.5285949707031,997.0515747070312,0.0,0.0,0.0
1.0,391.8033447265625,474.44970703125,0.0,0.0,0.0
1.0,396.57696533203125,1577.0013427734375,0.0,0.0,0.0
1.0,436.590087890625,30.160396575927734,0.0,0.0,0.0
1.0,432.4423522949219,471.6100769042969,0.0,0.0,0.0
1.0,453.0361022949219,913.1841430664062,0.0,0.0,0.0
1.0,465.40289306640625,1136.47314453125,0.0,0.0,0.0
1.0,479.90557861328125,902.4205932617188,0.0,0.0,0.0
1.0,535.9568481445312,1064.422119140625,0.0,0.0,0.0
1.0,570.1743774414062,1309.20849609375,0.0,0.0,0.0
1.0,586.6826782226562,936.5814208984375,0.0,0.0,0.0
1.0,600.0869750976562,1334.62646484375,0.0,0.0,0.0
1.0,602.02880859375,484.0727233886719,0.0,0.0,0.0
1.0,615.535400390625,896.509521484375,0.0,0.0,0.0
1.0,621.6041870117188,967.4602661132812,0.0,0.0,0.0
1.0,635.1438598632812,345.2193603515625,0.0,0.0,0.0
1.0,664.9529418945312,405.4857482910156,0.0,0.0,0.0
1.0,697.362548828125,457.71343994140625,0.0,0.0,0.0
1.0,696.876220703125,309.3782653808594,0.0,0.0,0.0
1.0,700.5983276367188,551.384765625,0.0,0.0,0.0
1.0,715.7899169921875,362.2101135253906,0.0,0.0,0.0
1.0,726.7188110351562,586.82177734375,0.0,0.0,0.0
1.0,741.2271118164062,651.2474365234375,0.0,0.0,0.0
1.0,739.7448120117188,545.0330810546875,0.0,0.0,0.0
1.0,743.9723510742188,457.0909118652344,0.0,0.0,0.0
1.0,794.7195434570312,552.22802734375,0.0,0.0,0.0
1.0,814.0187377929688,490.54278564453125,0.0,0.0,3.0
1.0,828.8165893554688,532.3328247070312,0.0,0.0,0.0
1.0,852.7645263671875,1383.0294189453125,0.0,0.0,0.0
1.0,848.27099609375,603.6290283203125,0.0,0.0,3.0
1.0,862.887939453125,1065.556884765625,0.0,0.0,0.0
1.0,866.55615234375,1034.6280517578125,0.0,0.0,0.0
1.0,879.8595581054688,504.52783203125,0.0,0.0,3.0
1.0,890.8905639648438,1257.1063232421875,0.0,0.0,0.0
1.0,888.28662109375,580.5280151367188,0.0,0.0,0.0
1.0,909.385986328125,543.7630615234375,0.0,0.0,0.0
1.0,926.529052734375,1183.983154296875,0.0,0.0,0.0
1.0,926.7991333007812,1300.9267578125,0.0,0.0,0.0
1.0,923.2113647460938,1073.34326171875,0.0,0.0,0.0
1.0,952.2550659179688,1034.5950927734375,0.0,0.0,0.0
1.0,969.93359375,1260.0377197265625,0.0,0.0,0.0
1.0,975.046875,1177.3048095703125,0.0,0.0,0.0
1.0,996.663818359375,1234.0169677734375,0.0,0.0,0.0
1.0,1007.3612060546875,1108.13037109375,0.0,0.0,0.0
1.0,1030.7218017578125,1148.107666015625,0.0,0.0,0.0
1.0,1041.97314453125,1212.036865234375,0.0,0.0,0.0
1.0,1049.9044189453125,1053.76416015625,0.0,0.0,0.0
1.0,1052.1624755859375,1102.8685302734375,0.0,0.0,0.0
1.0,1078.388671875,498.9496765136719,0.0,0.0,0.0
1.0,1085.5384521484375,1551.83740234375,0.0,0.0,0.0
1.0,1092.7523193359375,1123.8516845703125,0.0,0.0,0.0
1.0,1135.1112060546875,967.0219116210938,0.0,0.0,1.0
1.0,1133.162353515625,1123.6796875,0.0,0.0,0.0
1.0,1163.1900634765625,1474.9580078125,0.0,0.0,0.0
2.0,1.5324674844741821,514.0908813476562,0.0,0.0,3.0
2.0,4.298449516296387,657.0116577148438,0.0,0.0,2.0
2.0,7.774725437164307,719.8983764648438,0.0,0.0,3.0
2.0,21.100502014160156,690.5075073242188,0.0,0.0,0.0
2.0,34.403751373291016,240.74000549316406,0.0,0.0,0.0
2.0,49.36588668823242,297.1898193359375,0.0,0.0,0.0
2.0,58.44226837158203,692.5205688476562,0.0,0.0,0.0
2.0,66.70288848876953,220.6905059814453,0.0,0.0,0.0
2.0,156.384521484375,784.65478515625,0.0,0.0,0.0
2.0,185.8457794189453,1338.5892333984375,0.0,0.0,0.0
2.0,219.07156372070312,1306.35205078125,0.0,0.0,0.0
2.0,243.06236267089844,1325.987060546875,0.0,0.0,0.0
2.0,254.2825469970703,1274.907958984375,0.0,0.0,0.0
2.0,261.5018615722656,944.7980346679688,0.0,0.0,0.0
2.0,274.5892333984375,204.48153686523438,0.0,0.0,0.0
2.0,299.663818359375,1001.6509399414062,0.0,0.0,0.0
2.0,386.3313293457031,1576.288330078125,0.0,0.0,0.0
2.0,392.7503662109375,480.1141662597656,0.0,0.0,0.0
2.0,432.599609375,471.28973388671875,0.0,0.0,0.0
2.0,452.36431884765625,39.610042572021484,0.0,0.0,0.0
2.0,453.64031982421875,913.3577270507812,0.0,0.0,0.0
2.0,468.7989807128906,1132.887939453125,0.0,0.0,0.0
2.0,480.44989013671875,900.5906372070312,0.0,0.0,0.0
2.0,538.0750122070312,1064.6334228515625,0.0,0.0,0.0
2.0,575.0261840820312,1304.93017578125,0.0,0.0,0.0
2.0,585.0756225585938,936.579833984375,0.0,0.0,0.0
2.0,596.8445434570312,1339.259033203125,0.0,0.0,0.0
2.0,599.4705200195312,481.5015563964844,0.0,0.0,0.0
2.0,617.368896484375,894.845947265625,0.0,0.0,0.0
2.0,622.0816650390625,964.7050170898438,0.0,0.0,0.0
2.0,636.9664916992188,354.6005554199219,0.0,0.0,0.0
2.0,666.720458984375,407.4950866699219,0.0,0.0,0.0
2.0,695.3356323242188,307.281982421875,0.0,0.0,0.0
2.0,702.4542846679688,449.68829345703125,0.0,0.0,0.0
2.0,699.5642700195312,547.4187622070312,0.0,0.0,0.0
2.0,715.2977294921875,358.3719177246094,0.0,0.0,0.0
2.0,728.4708251953125,584.692626953125,0.0,0.0,0.0
2.0,738.5487060546875,539.4713134765625,0.0,0.0,0.0
2.0,741.739990234375,650.2470092773438,0.0,0.0,0.0
2.0,741.6500854492188,455.68878173828125,0.0,0.0,0.0
2.0,794.7489013671875,551.00146484375,0.0,0.0,0.0
2.0,810.3594970703125,490.33416748046875,0.0,0.0,3.0
2.0,831.1389770507812,534.3338623046875,0.0,0.0,0.0
2.0,851.4430541992188,1384.8345947265625,0.0,0.0,0.0
2.0,845.8742065429688,607.8967895507812,0.0,0.0,0.0
2.0,858.9719848632812,1067.7757568359375,0.0,0.0,0.0
2.0,862.2432861328125,1034.1072998046875,0.0,0.0,0.0
2.0,886.0562744140625,505.43505859375,0.0,0.0,0.0
2.0,885.4042358398438,580.2196044921875,0.0,0.0,0.0
2.0,895.6259155273438,1260.8409423828125,0.0,0.0,0.0
