t,x,y,z,label
0,517.5595092773438,9.081632614135742,0.0,0
0,657.603759765625,4.4301886558532715,0.0,2
0,718.007568359375,8.603535652160645,0.0,3
0,688.747314453125,21.547286987304688,0.0,0
0,234.80702209472656,34.46365737915039,0.0,0
0,293.9117736816406,42.60293960571289,0.0,0
0,692.1738891601562,59.6343879699707,0.0,0
0,214.09201049804688,64.20703887939453,0.0,0
0,785.9580078125,160.96038818359375,0.0,0
0,1330.404052734375,185.843994140625,0.0,0
0,1299.4453125,221.84906005859375,0.0,0
0,1324.084716796875,238.08058166503906,0.0,0
0,1274.4229736328125,255.82191467285156,0.0,1
0,943.4254760742188,256.2411804199219,0.0,0
0,209.0535125732422,272.122314453125,0.0,0
0,994.6532592773438,304.59423828125,0.0,0
0,469.88671875,392.5938415527344,0.0,0
0,1577.2769775390625,406.3944091796875,0.0,0
0,27.395748138427734,422.02935791015625,0.0,0
0,471.0409851074219,432.1188659667969,0.0,0
0,913.9239501953125,455.0482482910156,0.0,0
0,1138.327880859375,466.4112548828125,0.0,0
0,903.4175415039062,481.4071044921875,0.0,0
0,1062.10546875,538.3768920898438,0.0,0
0,1311.375244140625,568.7840576171875,0.0,0
0,937.2816162109375,588.2694091796875,0.0,0
0,484.331787109375,604.0338134765625,0.0,0
0,1329.0582275390625,602.4078979492188,0.0,0
0,897.9843139648438,613.5641479492188,0.0,0
0,969.3660278320312,622.5038452148438,0.0,0
0,340.7862243652344,636.69482421875,0.0,0
0,402.9361267089844,664.1793823242188,0.0,0
0,462.9677734375,695.8076171875,0.0,0
0,312.7450866699219,700.121826171875,0.0,0
0,551.425537109375,702.6190185546875,0.0,0
0,366.7296142578125,717.4983520507812,0.0,0
0,587.6835327148438,728.7041015625,0.0,0
0,653.4221801757812,740.67041015625,0.0,0
0,547.5119018554688,742.2069702148438,0.0,0
0,457.94927978515625,747.3684692382812,0.0,0
0,552.136474609375,799.6016845703125,0.0,0
0,484.9078674316406,820.07861328125,0.0,3
0,527.0247802734375,828.4173583984375,0.0,0
0,1381.0638427734375,853.9967651367188,0.0,0
0,600.0256958007812,853.1768188476562,0.0,0
0,1063.983642578125,868.0016479492188,0.0,0
0,1030.653564453125,872.8535766601562,0.0,0
0,502.5600891113281,876.2764282226562,0.0,3
0,1254.1162109375,887.5384521484375,0.0,0
0,581.056640625,892.7890625,0.0,0
0,540.613037109375,909.9098510742188,0.0,0
0,1178.744873046875,926.6682739257812,0.0,0
0,1295.922607421875,924.3761596679688,0.0,0
0,1072.566162109375,927.23828125,0.0,0
0,1038.0079345703125,957.3700561523438,0.0,0
0,1257.6441650390625,967.676025390625,0.0,0
0,1174.989013671875,974.0027465820312,0.0,0
0,1237.748779296875,993.064453125,0.0,0
0,1107.8533935546875,1008.3540649414062,0.0,0
0,1150.5745849609375,1027.471435546875,0.0,0
0,1210.4266357421875,1040.7547607421875,0.0,0
0,1054.9927978515625,1049.8934326171875,0.0,0
0,1101.8912353515625,1053.4259033203125,0.0,0
0,1552.0965576171875,1059.6180419921875,0.0,0
0,499.439453125,1083.0074462890625,0.0,0
0,1125.3621826171875,1093.4503173828125,0.0,0
0,1116.46240234375,1129.28759765625,0.0,0
0,962.6965942382812,1136.2137451171875,0.0,4
0,1472.149169921875,1165.19580078125,0.0,0
1,514.647216796875,5.52222204208374,0.0,2
1,657.7999877929688,4.155102252960205,0.0,2
1,718.75,8.149456977844238,0.0,3
1,689.7425537109375,21.402639389038086,0.0,0
1,237.31617736816406,34.273284912109375,0.0,0
1,295.221923828125,45.35799026489258,0.0,0
1,692.0775146484375,58.7170524597168,0.0,0
1,217.71630859375,63.5560302734375,0.0,0
1,784.5113525390625,158.6670684814453,0.0,0
1,1335.3707275390625,184.82022094726562,0.0,0
1,1303.126220703125,219.10899353027344,0.0,0
1,1326.3602294921875,238.39195251464844,0.0,0
1,1277.283203125,255.52159118652344,0.0,0
1,944.0872802734375,258.4728698730469,0.0,0
1,206.24417114257812,271.6127624511719,0.0,0
1,997.0515747070312,302.5285949707031,0.0,0
1,474.44970703125,391.8033447265625,0.0,0
1,1577.0013427734375,396.57696533203125,0.0,0
1,30.160396575927734,436.590087890625,0.0,0
1,471.6100769042969,432.4423522949219,0.0,0
1,913.1841430664062,453.0361022949219,0.0,0
